"price","horsepower"
16500,111
16500,154
13950,102
17450,115
15250,110
17710,110
18920,110
23875,140
22997,160
16430,101
16925,NA
20970,121
21105,121
24565,121
30760,182
41315,NA
36880,NA
5151,48
6295,70
6575,70
5572,68
6377,68
7957,102
6229,68
6692,NA
7609,68
8558,102
8921,NA
12964,NA
6479,58
6855,76
5399,60
6529,76
7129,76
7295,76
7295,76
7895,86
9095,86
8845,86
10295,86
12945,101
10345,100
6785,78
7496,NA
7496,70
11048,90
32250,176
35550,176
36000,262
5195,68
6095,68
6795,NA
6695,68
7395,68
10945,101
11845,101
13645,101
15645,135
8845,84
8495,84
10595,84
10245,84
10795,64
11245,84
18280,120
18344,72
25552,123
28248,123
28176,123
31600,123
NA,155
35056,155
40960,184
45400,184
16503,175
5389,68
6189,68
NA,68
7689,102
9959,116
8499,88
12629,145
14869,145
14489,145
6989,88
8189,88
9279,116
9279,116
5499,NA
NA,55
6649,69
6849,69
7349,69
7299,69
7799,69
7499,69
7999,69
NA,69
8949,97
9549,97
13499,NA
14399,NA
13499,152
17199,160
NA,200
18399,160
11900,97
NA,95
12440,97
13860,95
15580,NA
NA,95
NA,95
17075,95
16630,97
NA,95
18150,142
5572,68
7957,102
6229,68
6692,68
NA,68
8921,88
12764,145
22018,NA
32528,207
34028,207
NA,207
45043,288
9295,NA
9895,90
11850,NA
12170,NA
NA,110
15510,110
18150,160
18620,NA
NA,69
NA,73
7603,73
7126,82
7775,82
9960,94
NA,82
11259,111
7463,82
10198,94
8013,NA
11694,111
5348,62
6338,62
6488,62
6918,62
7898,62
8778,62
6938,70
7198,70
NA,56
NA,56
7738,70
8358,70
9258,70
8058,70
NA,70
9298,112
9538,112
8449,116
9639,116
9989,NA
NA,116
11549,116
17669,116
8948,92
10698,NA
9988,92
10898,92
11248,92
16558,161
NA,161
15690,156
15750,156
7775,52
7975,85
NA,52
8195,85
8495,85
9495,68
9995,NA
11595,90
9980,90
13295,110
13845,68
12290,88
12940,NA
13415,114
15985,114
16515,114
18420,NA
NA,162
16845,114
19045,160
21485,134
22470,106
22625,NA
