"price","horsepower"
16500,111
NA,154
13950,102
17450,115
15250,110
17710,NA
18920,NA
23875,NA
22997,160
16430,101
16925,101
20970,121
21105,121
NA,121
30760,182
NA,182
36880,NA
5151,48
6295,70
6575,70
5572,68
6377,68
7957,NA
6229,68
6692,68
7609,68
8558,102
8921,88
NA,145
6479,58
6855,76
5399,60
6529,NA
7129,76
7295,NA
7295,76
7895,86
9095,86
8845,86
10295,86
12945,101
10345,100
6785,78
7496,70
7496,70
NA,90
32250,176
NA,176
36000,NA
5195,68
6095,68
6795,68
6695,68
7395,68
10945,101
11845,101
13645,101
15645,NA
8845,84
8495,84
10595,84
10245,84
10795,64
11245,84
18280,NA
18344,72
NA,123
28248,123
28176,123
NA,123
34184,155
35056,155
40960,184
NA,184
16503,175
5389,68
6189,68
6669,68
7689,102
9959,116
8499,88
12629,NA
14869,NA
14489,NA
6989,88
8189,88
9279,116
9279,NA
5499,69
7099,55
6649,69
6849,69
7349,69
7299,69
7799,69
7499,69
7999,69
NA,69
8949,97
9549,97
13499,152
14399,NA
13499,NA
17199,160
19699,NA
18399,160
11900,97
13200,95
12440,97
13860,95
15580,95
16900,95
16695,95
17075,NA
16630,97
17950,95
NA,142
5572,68
7957,102
6229,68
6692,68
7609,68
8921,88
12764,145
22018,143
32528,207
34028,207
37028,207
NA,288
9295,88
9895,90
11850,110
12170,110
15040,110
15510,110
18150,160
18620,160
5118,69
7053,73
7603,NA
NA,82
NA,82
9960,94
9233,82
11259,NA
7463,82
10198,94
8013,NA
11694,111
5348,62
6338,62
6488,62
6918,62
7898,62
8778,62
6938,70
7198,70
NA,56
7788,56
7738,70
8358,70
9258,70
8058,70
8238,70
9298,112
9538,112
8449,116
9639,116
9989,116
11199,116
11549,116
17669,116
8948,92
10698,73
9988,92
10898,92
11248,92
16558,161
15998,161
15690,NA
15750,NA
7775,52
7975,85
7995,52
8195,85
8495,85
9495,68
9995,100
11595,90
9980,90
NA,110
13845,68
12290,88
NA,114
13415,114
15985,114
16515,114
18420,162
18950,162
16845,114
19045,160
21485,NA
22470,106
22625,114
