"num.of.doors","length","width","height","wheel.base"
"two",168.8,64.1,48.8,88.6
"two",171.2,NA,52.4,94.5
"four",176.6,66.2,54.3,99.8
"four",176.6,NA,54.3,99.4
"two",177.3,66.3,53.1,99.8
"four",192.7,71.4,NA,105.8
"four",192.7,71.4,55.7,105.8
"four",192.7,71.4,55.9,105.8
"two",178.2,67.9,52,99.5
"two",176.8,64.8,54.3,101.2
"four",176.8,64.8,54.3,101.2
"two",176.8,64.8,54.3,101.2
"four",176.8,64.8,54.3,101.2
"four",189,66.9,55.7,103.5
"four",189,66.9,55.7,103.5
"two",193.8,67.9,53.7,103.5
"four",197,70.9,56.3,110
"two",141.1,60.3,53.2,88.4
"two",155.9,63.6,52,NA
"four",158.8,63.6,52,94.5
"two",157.3,NA,50.8,93.7
"two",157.3,NA,50.8,93.7
"two",157.3,63.8,50.8,93.7
"four",157.3,63.8,50.6,93.7
"four",157.3,63.8,50.6,93.7
"four",157.3,63.8,50.6,93.7
"two",157.3,NA,50.6,93.7
"four",174.6,NA,59.8,103.3
"two",173.2,66.3,50.2,NA
"two",144.6,63.9,50.8,86.6
"two",144.6,63.9,50.8,86.6
"two",150,64,52.6,93.7
"two",150,64,52.6,93.7
"two",NA,64,52.6,93.7
"four",163.4,64,54.5,96.5
"four",157.1,63.9,58.3,96.5
"two",167.5,65.2,53.3,96.5
"two",167.5,65.2,53.3,96.5
"four",175.4,65.2,54.1,96.5
"four",175.4,62.5,54.1,96.5
"four",175.4,65.2,54.1,96.5
"two",169.1,66,NA,96.5
"four",170.7,61.8,53.5,94.3
"two",155.9,63.6,NA,94.5
"four",155.9,63.6,NA,94.5
"two",172.6,65.2,51.4,96
"four",199.6,69.6,52.8,113
"four",199.6,69.6,52.8,113
"two",191.7,NA,47.8,102
"two",159.1,64.2,54.1,93.1
"two",159.1,64.2,54.1,93.1
"two",159.1,64.2,54.1,93.1
"four",166.8,64.2,54.1,93.1
"four",166.8,64.2,54.1,93.1
"two",169,65.7,49.6,95.3
"two",169,65.7,49.6,95.3
"two",169,NA,49.6,95.3
"two",169,65.7,49.6,95.3
"two",177.8,NA,53.7,98.8
"four",177.8,66.5,55.5,98.8
"two",177.8,66.5,53.7,98.8
"four",177.8,66.5,55.5,98.8
"four",177.8,66.5,55.5,98.8
"four",177.8,66.5,55.5,98.8
"four",175,66.1,54.4,104.9
"four",175,66.1,54.4,104.9
"four",190.9,70.3,56.5,110
"four",190.9,70.3,58.7,110
"two",NA,70.3,54.9,106.7
"four",202.6,71.7,56.3,115.6
"four",202.6,71.7,56.5,115.6
"two",180.3,70.5,50.8,96.6
"four",208.1,71.7,56.7,120.9
"two",199.2,72,55.4,112
"two",178.4,68,54.8,102.7
"two",157.3,64.4,NA,93.7
