"num.of.doors","length","width","height","wheel.base"
"two",168.8,64.1,48.8,88.6
"two",171.2,65.5,52.4,94.5
"four",176.6,66.2,54.3,99.8
"four",176.6,66.4,54.3,99.4
"two",177.3,66.3,53.1,99.8
"four",192.7,71.4,55.7,105.8
"four",NA,71.4,55.7,105.8
"four",192.7,71.4,55.9,105.8
"two",178.2,67.9,52,99.5
"two",176.8,64.8,54.3,101.2
"four",176.8,64.8,54.3,101.2
"two",176.8,64.8,54.3,101.2
"four",176.8,64.8,54.3,101.2
"four",189,66.9,55.7,103.5
"four",NA,66.9,55.7,103.5
"two",193.8,67.9,53.7,103.5
"four",NA,70.9,56.3,110
"two",141.1,60.3,53.2,88.4
"two",155.9,63.6,52,NA
"four",158.8,63.6,52,94.5
"two",157.3,63.8,50.8,93.7
"two",157.3,63.8,50.8,93.7
"two",157.3,63.8,50.8,93.7
"four",157.3,63.8,50.6,93.7
"four",157.3,63.8,50.6,93.7
"four",157.3,63.8,50.6,93.7
"two",157.3,63.8,50.6,93.7
"four",174.6,64.6,59.8,103.3
"two",173.2,66.3,50.2,NA
"two",144.6,63.9,50.8,86.6
"two",144.6,63.9,50.8,86.6
"two",150,64,52.6,93.7
"two",150,64,52.6,93.7
"two",150,64,52.6,93.7
"four",163.4,64,54.5,96.5
"four",157.1,63.9,58.3,96.5
"two",167.5,65.2,53.3,96.5
"two",167.5,65.2,53.3,96.5
"four",175.4,65.2,54.1,96.5
"four",175.4,62.5,54.1,96.5
"four",175.4,65.2,54.1,96.5
"two",169.1,66,51,96.5
"four",170.7,61.8,53.5,94.3
"two",155.9,63.6,52,94.5
"four",155.9,63.6,52,94.5
"two",172.6,65.2,51.4,96
"four",199.6,69.6,52.8,113
"four",199.6,69.6,52.8,113
"two",191.7,70.6,47.8,102
"two",159.1,64.2,54.1,93.1
"two",159.1,64.2,54.1,93.1
"two",159.1,64.2,54.1,93.1
"four",166.8,64.2,54.1,93.1
"four",166.8,64.2,54.1,93.1
"two",169,65.7,49.6,95.3
"two",169,65.7,49.6,95.3
"two",169,65.7,49.6,95.3
"two",169,65.7,49.6,95.3
"two",177.8,66.5,53.7,98.8
"four",177.8,66.5,55.5,98.8
"two",177.8,66.5,53.7,98.8
"four",177.8,NA,55.5,98.8
"four",177.8,66.5,55.5,98.8
"four",177.8,66.5,55.5,98.8
"four",NA,66.1,54.4,104.9
"four",175,66.1,54.4,104.9
"four",190.9,70.3,56.5,110
"four",190.9,70.3,58.7,110
"two",187.5,70.3,NA,106.7
"four",NA,71.7,56.3,115.6
"four",NA,71.7,56.5,115.6
"two",180.3,70.5,50.8,96.6
"four",NA,71.7,56.7,120.9
"two",199.2,72,55.4,112
"two",178.4,68,54.8,102.7
"two",157.3,64.4,50.8,93.7
"two",157.3,64.4,50.8,93.7
"two",157.3,64.4,50.8,93.7
"two",157.3,63.8,50.8,93
"two",173,65.4,49.4,96.3
"two",173,65.4,49.4,96.3
"two",173.2,66.3,50.2,95.9
"two",173.2,66.3,50.2,95.9
"two",173.2,66.3,50.2,95.9
"four",172.4,65.4,51.6,96.3
"four",172.4,65.4,51.6,96.3
"four",172.4,65.4,51.6,96.3
"four",172.4,65.4,51.6,96.3
"two",165.3,63.8,54.5,94.5
"two",165.3,63.8,54.5,94.5
"two",165.3,63.8,54.5,94.5
"four",NA,63.8,54.5,94.5
"four",170.2,63.8,53.5,94.5
"two",165.3,63.8,54.5,94.5
"two",165.6,63.8,53.3,94.5
"four",165.3,63.8,54.5,94.5
"four",170.2,63.8,53.5,94.5
"two",162.4,63.8,53.3,95.1
"four",173.4,65.2,54.7,NA
"four",173.4,65.2,54.7,97.2
"four",181.7,66.5,55.1,100.4
"four",184.6,66.5,56.1,100.4
"four",184.6,66.5,55.1,100.4
"two",170.7,67.9,49.7,91.3
"two",170.7,67.9,49.7,91.3
"two",178.5,67.9,49.7,99.2
"four",186.7,68.4,56.7,107.9
"four",186.7,NA,56.7,107.9
"four",198.9,68.4,NA,114.2
"four",198.9,68.4,58.7,114.2
"four",186.7,68.4,56.7,107.9
"four",186.7,68.4,56.7,107.9
"four",198.9,68.4,56.7,114.2
"four",198.9,68.4,58.7,114.2
"four",186.7,68.4,56.7,107.9
"four",186.7,68.4,56.7,107.9
"four",186.7,68.3,56,108
"two",157.3,63.8,50.8,93.7
"two",157.3,63.8,50.8,93.7
"four",157.3,63.8,50.6,93.7
"four",167.3,63.8,50.8,93.7
"four",167.3,63.8,50.8,93.7
"four",174.6,64.6,59.8,103.3
"two",173.2,66.3,50.2,95.9
"two",168.9,NA,50.2,94.5
"two",168.9,65,51.6,89.5
"two",168.9,65,51.6,89.5
"two",168.9,65,51.6,89.5
"two",175.7,72.3,50.5,98.4
"four",181.5,66.5,55.2,96.1
"two",176.8,66.6,50.5,96.1
"two",186.6,66.5,56.1,99.1
"four",186.6,66.5,56.1,99.1
"two",186.6,66.5,56.1,99.1
"four",186.6,66.5,56.1,NA
"two",186.6,66.5,56.1,99.1
"four",186.6,66.5,NA,99.1
"two",156.9,63.4,53.7,93.7
"two",157.9,63.6,53.7,93.7
"two",157.3,63.8,55.7,93.3
"four",NA,65.4,52.5,97.2
"four",172,65.4,52.5,97.2
"four",172,65.4,52.5,97.2
"four",172,65.4,54.3,97
"four",172,65.4,54.3,97
"four",NA,65.4,53,97
"four",173.5,65.4,53,97
"four",173.6,65.4,NA,96.9
"four",173.6,65.4,54.9,96.9
"two",158.7,63.6,54.5,95.7
"two",158.7,63.6,54.5,95.7
"four",158.7,63.6,54.5,95.7
"four",169.7,63.6,59.1,95.7
"four",NA,63.6,59.1,95.7
"four",169.7,63.6,59.1,95.7
"four",166.3,64.4,53,95.7
"four",166.3,64.4,52.8,95.7
"four",166.3,64.4,53,95.7
"four",166.3,64.4,52.8,95.7
"four",166.3,64.4,53,95.7
"four",166.3,64.4,52.8,95.7
"four",166.3,64.4,52.8,95.7
"two",168.7,64,52.6,94.5
"two",168.7,64,52.6,94.5
"two",168.7,64,52.6,94.5
"two",168.7,64,52.6,94.5
"two",176.2,65.6,52,98.4
"two",176.2,65.6,52,98.4
"two",176.2,65.6,52,98.4
"two",176.2,65.6,52,NA
"two",176.2,65.6,52,98.4
"two",176.2,65.6,53,98.4
"four",175.6,NA,54.9,102.4
"four",175.6,66.5,54.9,NA
"four",175.6,66.5,53.9,102.4
"four",175.6,66.5,NA,102.4
"four",175.6,66.5,53.9,102.4
"two",NA,67.7,52,102.9
"two",183.5,67.7,52,102.9
"four",187.8,66.5,54.1,104.5
"four",187.8,66.5,54.1,104.5
"two",171.7,65.5,55.7,97.3
"two",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,97.3
"four",NA,65.5,55.7,97.3
"four",171.7,65.5,55.7,97.3
"four",171.7,65.5,55.7,NA
"two",159.3,64.2,55.6,94.5
"two",165.7,64,51.4,94.5
"four",180.2,66.9,55.1,100.4
"four",180.2,66.9,55.1,100.4
"four",183.1,66.9,55.1,100.4
"four",188.8,NA,56.2,104.3
"four",188.8,67.2,NA,104.3
"four",188.8,67.2,56.2,104.3
"four",188.8,67.2,57.5,104.3
"four",188.8,67.2,56.2,104.3
"four",188.8,67.2,57.5,104.3
"four",188.8,68.9,55.5,109.1
"four",188.8,68.8,55.5,109.1
"four",188.8,NA,55.5,109.1
"four",188.8,68.9,55.5,109.1
"four",188.8,NA,55.5,109.1
